State,City,Service,Channel,FCC,Station,Broadcast Branding,Link,FacID,licensee,lms_application_id
Alabama,Birmingham,Radio,90.3,http://transition.fcc.gov/fcc-bin/fmq?facid=4240,/station-view/WBHM-FM,WBHM,https://cpb.org/sites/default/files/station_logos/wbhm_fm.gif,4240,THE BOARD OF TRUSTEES OF THE UNIVERSITY OF ALABAMA AT BIRMINGHAM,e8a1c7fc7f814ac4a825c1b6063ebeb7
Alabama,Normal,Radio,90.9,http://transition.fcc.gov/fcc-bin/fmq?facid=697,/station-view/WJAB-FM,WJAB,https://cpb.org/sites/default/files/station_logos/wjab_fm.gif,697,ALABAMA A & M UNIVERSITY,2f26807d81a04dcf9a85c1b6063ebeb7
Alabama,Huntsville,Radio,89.3,http://transition.fcc.gov/fcc-bin/fmq?facid=719,/station-view/WLRH-FM,WLRH Public Radio for the Tennessee Valley,https://cpb.org/sites/default/files/station_logos/wlrh_fm.gif,719,ALABAMA EDUCATIONAL TELEVISION COMMISSION,f5f65d0169754758862fc1b6063ebeb7
Alabama,Montgomery,Radio,90.7,http://transition.fcc.gov/fcc-bin/fmq?facid=727,/station-view/WVAS-FM,WVAS,https://cpb.org/sites/default/files/station_logos/wvas_fm_0.png,727,ALABAMA STATE UNIVERSITY (ASU),56f775e5045a4bf2befdc1b6063ebeb7
Alabama,Dothan,Radio,88.7,http://transition.fcc.gov/fcc-bin/fmq?facid=68185,/station-view/WTSU-FM,Troy University Public Radio,https://cpb.org/sites/default/files/station_logos/wrwa_fm.gif,68185,TROY UNIVERSITY,08bcaec56a784a33902fc1b6063ebeb7
Alabama,Troy,Radio,89.9,http://transition.fcc.gov/fcc-bin/fmq?facid=68187,/station-view/WTSU-FM,Troy University Public Radio,https://cpb.org/sites/default/files/station_logos/wtsu_fm.gif,68187,,
Alabama,Selma,Radio,88.3,http://transition.fcc.gov/fcc-bin/fmq?facid=6125,/station-view/WUAL-FM,Alabama Public Radio,https://cpb.org/sites/default/files/station_logos/wapr_fm.gif,6125,UA-ASU-TSU EDUCATIONAL RADIO CORP.,25076ff3949de7150194af078d0908c9
Alabama,Mobile,Radio,91.3,http://transition.fcc.gov/fcc-bin/fmq?facid=61999,/station-view/WUAL-FM,Alabama Public Radio,https://cpb.org/sites/default/files/station_logos/whil_fm.gif,61999,THE BOARD OF TRUSTEES OF THE UNIVERSITY OF ALABAMA,19707de99e6e492dbae4c1b6063ebeb7
Alabama,Muscle shoals,Radio,88.7,http://transition.fcc.gov/fcc-bin/fmq?facid=65441,/station-view/WUAL-FM,Alabama Public Radio,https://cpb.org/sites/default/files/station_logos/wqpr_fm.gif,65441,UNIVERSITY OF ALABAMA,dcbfbb268fb64ec6b0fac1b6063ebeb7
Alabama,Tuscaloosa,Radio,91.5,http://transition.fcc.gov/fcc-bin/fmq?facid=69168,/station-view/WUAL-FM,Alabama Public Radio,https://cpb.org/sites/default/files/station_logos/wual_fm.gif,69168,UNIVERSITY OF ALABAMA,b3d6db3ddb7f4eea945bc1b6063ebeb7
